"danish","swedish","pos","example_da","example_sv","note","deck","cefr","tags","accepted","audio","audio_example","rank"
"grævling","grävling","noun","","","","praksis-dyr-vilde-b2","b2","","","audio/da-0a90f0184810d3.mp3","","24905"
"gøg","gök","noun","","","","praksis-fugle-insekter-b2","b2","","","audio/da-0175b4702db497.mp3","","11708"
"knop","knopp","noun","","","","praksis-planter-have-b2","b2","","","audio/da-001f55730acd6d.mp3","","29457"
"elevator","hiss","noun","","","","praksis-by-bygninger-b1","b1","","","audio/da-123fee7f6e6888.mp3","","6568"
"kirkegård","kyrkogård","noun","","","","praksis-infrastruktur-b1","b1","","","audio/da-055a0ef4e42d68.mp3","","8152"
"tastatur","tangentbord","noun","","","","praksis-teknologi-computer-b1","b1","","","audio/da-013d057477a520.mp3","","24134"
"logge ind","logga in","verb","","","","praksis-internet-medier-b1","b1","","","audio/da-10b6583ff9da47.mp3","",""
"telefonbog","telefonbok","noun","","","","praksis-telefon-komm-b1","b1","","","audio/da-1c1896500319c7.mp3","","23896"
"forside","förstasida (omslag)","noun","","","","praksis-nyheder-aviser-b1","b1","","","audio/da-1b5962d519a790.mp3","","19668"
"weekend","helg","noun","","","","praksis-tid-kalender-b1","b1","","","audio/da-18745ab8efada1.mp3","","2202"
"i forgårs","i förrgår","adv","","","","praksis-ugedage-saesoner-b2","b2","","","audio/da-0f544119641c5d.mp3","",""
"taber","förlorare","noun","Ingen kan lide at være en dårlig taber.","Ingen gillar att vara en dålig förlorare.","","praksis-sport-motion-b1","b1","","","audio/da-13a255a1ded6ed.mp3","","1074"
"skøjte","åka skridsko","verb","","","","praksis-hobby-spil-b2","b2","","","audio/da-02557cc7f98849.mp3","","19284"
"spille","spela","verb","Vil du spille fodbold med os i eftermiddag?","Vill du spela fotboll med oss i eftermiddag?","","praksis-musik-instrumenter-b1","b1","","","audio/da-05a5c2d6db443d.mp3","","510"
"digt","dikt","noun","","","","praksis-kunst-kultur-b1","b1","","","audio/da-0ebaa0dcca169a.mp3","","5782"
"undertekster","undertexter","noun","","","","praksis-film-teater-b1","b1","","","audio/da-1e762aad2add29.mp3","","8210"
"afsnit","stycke (avsnitt)","noun","","","","praksis-boeger-litteratur-b2","b2","","","audio/da-036f9bbab39fe1.mp3","","3264"
"fange","fånge","noun","En fange er flygtet fra fængslet i nat.","En fånge har rymt från fängelset i natt.","","praksis-lov-kriminalitet-b1","b1","","","audio/da-03c863b9819f88.mp3","","889"
"folketing","riksdag (Danmarks parlament)","noun","","","","praksis-politik-samfund-b1","b1","","","audio/da-17178cc3e96d65.mp3","",""
"sagsbehandling","ärendehandläggning","noun","","","","praksis-stat-forvaltning-b2","b2","","","audio/da-1703a5c44f5504.mp3","",""
"veje","väga","verb","","","","praksis-videnskab-forskning-b1","b1","","","audio/da-05349b8020da45.mp3","","2768"
"trække fra","subtrahera (dra ifrån)","verb","","","","praksis-matematik-tal-b1","b1","","","audio/da-0ee13a84337d26.mp3","",""
"begravelse","begravning","noun","","","","praksis-religion-tro-b1","b1","","","audio/da-1d492851feed0b.mp3","","2552"
"formål","syfte (ändamål)","noun","","","","praksis-abstrakte-begreber-b1","b1","","","audio/da-08eca0f536b189.mp3","","2358"
"messing","mässing","noun","","","","praksis-materialer-stoffer-b2","b2","","","audio/da-1c57079dc898cd.mp3","","24673"
"sav","såg","noun","","","","praksis-vaerktoej-diy-b1","b1","","","audio/da-170b6247394d1c.mp3","","14384"
"spær","takstol (takbjälke)","noun","","","","praksis-byggeri-b2","b2","","","audio/da-1838b0aee693d1.mp3","","13548"
"rug","råg","noun","","","","praksis-landbrug-b1","b1","","","audio/da-14a0598a7a7309.mp3","","37258"
"fjerdedel","fjärdedel","noun","","","","praksis-maal-vaegt-b2","b2","","","audio/da-147c339a109f6a.mp3","","16003"
"henne","borta (där borta)","adv","","","","praksis-retninger-placering-b1","b1","","","audio/da-06e9682ca64c4b.mp3","","1417"
"mand","man","noun","Der står en mand og venter udenfor.","Det står en man utanför och väntar.","","praksis-samfundsgrupper-b1","b1","","","audio/da-02fd72939dd330.mp3","","118"
"bagefter","efteråt","adv","Lad os spise først og se filmen bagefter.","Vi äter först och ser filmen efteråt.","","praksis-adverbier-tid-b1","b1","","","audio/da-03a928547c14e2.mp3","","1112"
"let","lätt (enkelt)","adv","Man farer let vild i de små gader.","Man går lätt vilse på de små gatorna.","","praksis-adverbier-maade-b1","b1","","nemt","audio/da-01418429903d0e.mp3","","617"
"rigtig","riktigt, väldigt","adv","Vi så en rigtig god film i aftes.","Vi såg en riktigt bra film i går kväll.","","praksis-adverbier-grad-b1","b1","","","audio/da-1e7c3cda706159.mp3","","308"
"ovre","på andra sidan","adv","","","","praksis-adverbier-sted-b1","b1","","","audio/da-0bc02dcd861793.mp3","","1520"
"langs med","längs med","phrase","","","","praksis-forholdsord-b2","b2","","","audio/da-0a0cca8c5c45ec.mp3","",""
"mens","medan","other","Jeg laver mad, mens du dækker bord.","Jag lagar mat medan du dukar bordet.","","praksis-bindeord-diskurs-b1","b1","","","audio/da-0fc7d7bd2c2d84.mp3","","383"
"hvilke","vilka","other","Hvilke bøger har du læst i år?","Vilka böcker har du läst i år?","","praksis-spoergeord-pron-b1","b1","","Hvilke","audio/da-0286ef23131ce4.mp3","","1090"
"vistnok","förmodligen (tydligen)","adv","","","","praksis-smaaord-fyldord-b2","b2","","","audio/da-03725d3820c635.mp3","","17867"
"hverken","varken","adv","Jeg har hverken tid eller lyst i dag.","Jag har varken tid eller lust idag.","","praksis-falske-venner-klassiske-b1","b1","","","audio/da-1e768b130691da.mp3","","1221"
"ærgerlig","tråkig/förarglig","adj","","","","praksis-falske-venner-subtile-b2","b2","","","audio/da-1e72a7f42fdfb0.mp3","",""
"kede","tråka ut","verb","","","","praksis-falske-venner-verber-b2","b2","","","audio/da-1e8242126fa539.mp3","","3959"
"dårlig","dålig","adj","Filmen var virkelig dårlig, synes jeg.","Filmen var verkligen dålig, tycker jag.","","praksis-falske-venner-adj-b1","b1","","","audio/da-1a6ffd8853aa7c.mp3","","622"
"barbere sig","raka sig","verb","","","","praksis-hverdag-rutiner-b1","b1","","","audio/da-08f9b62defc213.mp3","",""
"irriteret","irriterad","adj","","","","praksis-foelelser-udtryk-b1","b1","","","audio/da-0ec9bbf0d1e8d0.mp3","","8449"
"kramme","krama","verb","","","","praksis-kropssprog-b1","b1","","","audio/da-004bccfb3a7684.mp3","","8582"
"smæld","smäll","noun","","","","praksis-lyde-stoej-b2","b2","","knald","audio/da-182481d29d01c0.mp3","","38193"
"læne sig","luta sig","verb","","","","praksis-positioner-b1","b1","","","audio/da-17ef502d8a1915.mp3","",""
"agurkesalat","inlagd gurka","noun","","","","praksis-mad-avanceret-b2","b2","","","audio/da-16e799743028d0.mp3","",""
"barsel","föräldraledighet","noun","","","","praksis-arbejde-b2","b2","","","audio/da-0590c2bc2478c1.mp3","","38106"
"modstand","motstånd (resistans)","noun","","","","praksis-videnskab-b2","b2","","","audio/da-1bc589eebf3d08.mp3","","3228"
"tiltalte","den åtalade","noun","","","","praksis-lov-b2","b2","","","audio/da-04acbe9c7ea0ff.mp3","","6802"
"stemmeseddel","röstsedel, valsedel","noun","","","","praksis-politik-b2","b2","","","audio/da-00cfbce1449c55.mp3","",""
"krat","snår (buskage)","noun","","","","praksis-natur-b2","b2","","","audio/da-1721b378f482c9.mp3","","34345"
"skoldkopper","vattkoppor","noun","","","","praksis-sundhed-b2","b2","","","audio/da-0a4aed67339e36.mp3","","25197"
"udmattet","utmattad","adj","","","","praksis-foelelser-b2","b2","","","audio/da-0fe2c250c3573d.mp3","","5432"
"bor","borr","noun","Jeg skal bruge et bor til at sætte hylden op.","Jag behöver en borr för att sätta upp hyllan.","","praksis-teknologi-b2","b2","","","audio/da-181994ce1c6775.mp3","",""
"kunst","konst","noun","","","","praksis-kultur-b1","b1","","","audio/da-0c5f73218237d7.mp3","","2272"
"tilværelse","tillvaro","noun","","","","praksis-abstrakt-b2","b2","","","audio/da-0e929d831d7d18.mp3","","12257"
"betone","betona","verb","","","","praksis-kommunikation-b2","b2","","","audio/da-02971e90929221.mp3","",""
"understøttelse","understöd (bidrag)","noun","","","","praksis-samfund-b2","b2","","","audio/da-0fef1a005dd75a.mp3","","28365"
"forsendelse","försändelse","noun","","","","praksis-handel-b2","b2","","","audio/da-1036a8f1ef19fa.mp3","","16377"
"stil","uppsats (skriftlig)","noun","Vi skal skrive en stil om vores sommerferie.","Vi ska skriva en uppsats om vårt sommarlov.","","praksis-uddannelse-b2","b2","falsk-ven","","audio/da-0f7ef80a4d0821.mp3","","918"
"stemning","stämning","noun","","","","praksis-psykologi-b1","b1","","","audio/da-14629578702670.mp3","","8061"
"modsætning","motsats","noun","","","","praksis-filosofi-b2","b2","","","audio/da-164a1d610e1093.mp3","","6137"
"erobring","erövring","noun","","","","praksis-historie-b2","b2","","","audio/da-0d95e42a02507f.mp3","","24892"
"hovedstad","huvudstad","noun","","","","praksis-geografi-b1","b1","","","audio/da-0a5a6a1834ab98.mp3","","13163"
"vindstille","vindstilla","noun","","","","praksis-vejr-b2","b2","","","audio/da-0fb846c71ff1bb.mp3","",""
"sved","svett","noun","","","","praksis-krop-b1","b1","","","audio/da-1dc81c8f160107.mp3","","6351"
"krydre","krydda","verb","","","","praksis-foedevarer-b1","b1","","","audio/da-157f9c36b5631f.mp3","","38913"
"ansættelseskontrakt","anställningsavtal","noun","","","","praksis-arbejdsmarked-b2","b2","","","audio/da-05e5c725778d42.mp3","",""
"indflytning","inflyttning","noun","","","","praksis-bolig-b2","b2","","","audio/da-0ab304771e6df9.mp3","",""
"genbruge","återvinna","verb","","","","praksis-miljoe-b1","b1","","","audio/da-123a97d981d32e.mp3","","34369"
"isolere","isolera (värmeisolera)","verb","","","","praksis-energi-b2","b2","","","audio/da-1ae081bfe219cb.mp3","","10463"
"afrejse","avresa","noun","","","","praksis-rejse-b2","b2","","","audio/da-054d9e36118ed2.mp3","","18545"
"agn","bete (lockbete)","noun","","","","praksis-fritid-b2","b2","","","audio/da-0d153d5c805f19.mp3","","37470"
"forsone","försona","verb","","","","praksis-relationer-b2","b2","","","audio/da-077f5d2d7b16ff.mp3","","46775"
"inden","innan","adv","Vi skal være hjemme inden klokken ti.","Vi ska vara hemma innan klockan tio.","","praksis-tid-b1","b1","","","audio/da-12598f00e7aafc.mp3","","372"
"nedstryger","bågfil (metallsåg)","noun","","","","praksis-snedker-toemrer-b2","b2","","baufil","audio/da-055c8f5605b65f.mp3","","43886"
"fuge","foga (mura i fogar)","verb","","","","praksis-murer-b2","b2","","","audio/da-0eb84987168c4c.mp3","",""
"tagrende","hängränna (takränna)","noun","","","","praksis-vvs-blik-b2","b2","","","audio/da-04dcffe1a90c7d.mp3","",""
"jording","jordning","noun","","","","praksis-elektriker-b2","b2","","jordforbindelse","audio/da-03bfe6dacd25ad.mp3","",""
"grunder","grundfärg/primer","noun","","","","praksis-maler-dekoration-b2","b2","","","audio/da-1c9839da189e73.mp3","",""
"bremseklods","bromsbelägg (bromskloss)","noun","","","","praksis-mekaniker-b2","b2","","","audio/da-04678de7841816.mp3","",""
"glødende","glödande","adj","","","","praksis-smed-metal-b2","b2","","","audio/da-011161694c2036.mp3","","16806"
"trykknap","tryckknapp","noun","","","","praksis-syning-skraedder-b2","b2","","","audio/da-03fa2bfb8331e3.mp3","",""
"overskæg","mustasch","noun","","","","praksis-frisoer-b2","b2","","","audio/da-1165456575825c.mp3","","6391"
"muldjord","matjord","noun","","","","praksis-gartner-detalje-b2","b2","","muld","audio/da-0e5a7b501ff963.mp3","",""
"natron","bikarbonat","noun","","","","praksis-bager-konditor-b2","b2","","","audio/da-0101a1c6232fd6.mp3","","46396"
"tyksteg","innanlår/fransyska","noun","","","","praksis-slagter-b2","b2","","","audio/da-088ac1648544eb.mp3","",""
"synk","sänke (lod)","noun","","","","praksis-fisker-b2","b2","","","audio/da-1baaf7601c8729.mp3","","24234"
"harve","harv","noun","","","","praksis-landmand-detalje-b2","b2","","","audio/da-0270f8fd596cd9.mp3","",""
"gurkemeje","gurkmeja","noun","","","","praksis-krydderier-b2","b2","","","audio/da-02e94e96c90c85.mp3","",""
"mynte","mynta","noun","","","","praksis-urter-b1","b1","","","audio/da-1ba9bc47b5500b.mp3","","36308"
"rød fluesvamp","röd flugsvamp","noun","","","","praksis-svampe-b2","b2","","","audio/da-196e976e279cbd.mp3","",""
"græskarkerne","pumpafrö","noun","","","","praksis-noedder-froe-b2","b2","","","audio/da-02f7a7ca2e2f43.mp3","",""
"koldskål","kall kärnmjölksdessert (dansk sommarrätt)","noun","","","","praksis-mejeri-detalje-b2","b2","","","audio/da-059f74098d988e.mp3","",""
"remoulade","remoulad (dansk dressing)","noun","","","","praksis-paalaeg-b1","b1","","","audio/da-08238a20e00046.mp3","","44044"
"tærte","paj/mördegstårta","noun","","","","praksis-kager-desserter-b2","b2","","","audio/da-0accc7c4cc2b56.mp3","","5608"
"ærtesuppe","ärtsoppa","noun","","","","praksis-supper-gryder-b1","b1","","gule ærter","audio/da-163d990baf8ff4.mp3","",""
"smør-melsbolle","smörbollar (beurre manié)","noun","","","","praksis-saucer-dressing-b2","b2","","","audio/da-039d05e36f8df3.mp3","",""
"nedlægning","inläggning (konservering)","noun","","","","praksis-konserves-holdbar-b2","b2","","","audio/da-03aeccf54f0118.mp3","",""
"lærk","lärk(träd)","noun","","","","praksis-traeer-arter-b2","b2","falsk-ven","","audio/da-12ffa959bc8090.mp3","",""
"stedmoderblomst","pensé","noun","","","","praksis-blomster-arter-b2","b2","","","audio/da-05f7b4f77a5250.mp3","",""
"pighvar","piggvar","noun","","","","praksis-fisk-arter-b2","b2","","","audio/da-0413a78532152d.mp3","",""
"vandnymfe","flickslända","noun","","","","praksis-insekter-arter-b2","b2","","","audio/da-0ee0e0527af7c9.mp3","",""
"blåmejse","blåmes","noun","","","","praksis-fugle-arter-b2","b2","","","audio/da-0d4b2bddaa0501.mp3","",""
"hvirvelvind","virvelvind","noun","","","","praksis-vejrfaenomener-b2","b2","","","audio/da-05439888ca8bd7.mp3","","35237"
"jernmalm","järnmalm","noun","","","","praksis-geologi-mineraler-b2","b2","","","audio/da-0c3582f8509a81.mp3","",""
"banke","bank (grund i havet)","noun","","","","praksis-vand-hav-b2","b2","","","audio/da-1c30a862d716c2.mp3","",""
"skumring","skymning","noun","","","","praksis-astronomi-himmel-b2","b2","","tusmørke","audio/da-13abff520406b4.mp3","","42253"
"hofteben","höftben","noun","","","","praksis-skelet-knogler-b2","b2","","","audio/da-04ceb409d441c5.mp3","",""
"forvride","vricka","verb","","","","praksis-muskler-led-b2","b2","","","audio/da-054ee18c3dc509.mp3","",""
"blindtarmsbetændelse","blindtarmsinflammation","noun","","","","praksis-sygdomme-konkrete-b2","b2","","","audio/da-10221f8214c980.mp3","","41416"
"hjertebanken","hjärtklappning","noun","","","","praksis-symptomer-detalje-b2","b2","","","audio/da-006f2cf710833d.mp3","","26172"
"ambulatorium","öppenvårdsmottagning","noun","","","","praksis-hospital-afdeling-b2","b2","","","audio/da-16816d82447fae.mp3","",""
"tandkøds­betændelse","tandköttsinflammation","noun","","","","praksis-tandlaege-b2","b2","","","audio/da-159f5dab8d6030.mp3","",""
"hvile","vila","noun","","","","praksis-mental-sundhed-b1","b1","","","audio/da-05d17c658b9684.mp3","","1658"
"moderkage","moderkaka","noun","","","","praksis-graviditet-foedsel-b2","b2","","","audio/da-19c47f571592f0.mp3","",""
"besvimelse","svimning","noun","","","","praksis-foerstehjaelp-b2","b2","","","audio/da-1af286ccb144ea.mp3","",""
"toiletpapir","toalettpapper","noun","","","","praksis-badevaerelse-b1","b1","","","audio/da-0ef2f2dc74a714.mp3","","10110"
"madras","madrass","noun","","","","praksis-sovevaerelse-b1","b1","","","audio/da-1ce80c2462756a.mp3","","10705"
"hækkeklipper","häcksax","noun","","","","praksis-have-redskaber-b2","b2","","","audio/da-1ca2edfbf0dbcd.mp3","",""
"lampeskærm","lampskärm","noun","","","","praksis-belysning-b1","b1","","","audio/da-08bb62a4a613b2.mp3","",""
"loftspanel","takpanel","noun","","","","praksis-gulv-vaeg-loft-b2","b2","","","audio/da-161e20bbce10a1.mp3","",""
"dørgreb","dörrhandtag","noun","","","","praksis-vinduer-doere-b2","b2","","dørhåndtag","audio/da-1b4c71296f7042.mp3","",""
"varmelegeme","värmeelement","noun","","","","praksis-opvarmning-b2","b2","","","audio/da-07f9b1bc771fef.mp3","",""
"opbevare","förvara","verb","","","","praksis-opbevaring-b1","b1","","","audio/da-1711e366d383ec.mp3","","12188"
"blinklys","blinkers","noun","","","","praksis-bilens-dele-b1","b1","","","audio/da-19ee867df0a415.mp3","","41919"
"støtteben","cykelstöd (stödben)","noun","","","","praksis-cykel-dele-b2","b2","","","audio/da-1b3d0f52aa12a7.mp3","",""
"linning","linning (resår/midjeband)","noun","","","","praksis-toej-detaljer-b2","b2","","","audio/da-16088c6cbd9651.mp3","",""
"flæse","volang/krås","noun","","","","praksis-stof-tekstiler-b2","b2","","","audio/da-0c3750bf2e5445.mp3","",""
"urskive","urtavla","noun","","","","praksis-smykker-ure-b2","b2","","","audio/da-0a33605af8d5a9.mp3","",""
"øjenskygge","ögonskugga","noun","","","","praksis-makeup-pleje-b2","b2","","","audio/da-0ea3d74a972121.mp3","","35141"
"sutteklud","snuttefilt (nusduk)","noun","","","","praksis-baby-udstyr-b2","b2","","","audio/da-046bbbf5d7c30b.mp3","","44635"
"blyantspidser","pennvässare","noun","","","","praksis-kontorartikler-b2","b2","","","audio/da-0c87a20245d6c4.mp3","",""
"røremaskine","köksmaskin (med visp)","noun","","","","praksis-koekkenmaskiner-b2","b2","","","audio/da-0c64a338dd975b.mp3","",""
"regnemaskine","miniräknare","noun","","","","praksis-elektronik-gadgets-b2","b2","","lommeregner","audio/da-119c468800d975.mp3","","43003"
"slæde","släde","noun","","","","praksis-vintersport-b1","b1","","","audio/da-081e101b9c7bbd.mp3","","15552"
"baglæns saltomortale","baklängesvolt","noun","","","","praksis-vandsport-b2","b2","","","audio/da-11eb47e88658f6.mp3","",""
"slå lejr","slå läger","phrase","","","","praksis-friluftsliv-b2","b2","","","audio/da-0b8853896cc5a5.mp3","",""
"spar","spader (kortfärg)","noun","","","","praksis-braetspil-kort-b2","b2","","","audio/da-0046a397cc107e.mp3","","3715"
"retmaske","rät maska","noun","","","","praksis-haandarbejde-b2","b2","","","audio/da-0791172ae61606.mp3","",""
"snurre op","sjuda upp","phrase","","","","praksis-madlavning-teknik-b2","b2","","","audio/da-05cc7d59f8fafa.mp3","",""
"forme","forma","verb","","","","praksis-bagning-teknik-b1","b1","","","audio/da-145e637b995b10.mp3","","12217"
"knalde","smälla (knalla)","verb","","","","praksis-lyd-verber-b2","b2","","smælde","audio/da-1acddb04827522.mp3","","3636"
"knipse","knäppa (med fingrarna)","verb","","","","praksis-hand-handlinger-b2","b2","","","audio/da-06c144b4a78b49.mp3","","31751"
"mukke","knota, knorra","verb","","","","praksis-tale-maader-b2","b2","","","audio/da-1e779ac02c8b1c.mp3","",""
"grine ad","skratta åt","phrase","","","","praksis-grine-graede-b2","b2","","le ad","audio/da-1dc3c81383c471.mp3","",""
"strejfe","ströva (omkring)","verb","","","","praksis-bevaegelse-praecis-b2","b2","","","audio/da-02e4dbd0659846.mp3","","24772"
"gisp","flämtning","noun","","","","praksis-ansigtsudtryk-b2","b2","","","audio/da-04b90c8da0f505.mp3","","17125"
"indbildsk","inbilsk (mallig)","adj","","","","praksis-karaktertraek-neg-b2","b2","","","audio/da-0eff3597903f4e.mp3","","23170"
"vedholdende","ihärdig, uthållig","adj","","","","praksis-karaktertraek-pos-b2","b2","","","audio/da-1632415dca744e.mp3","","20233"
"drillende","retsam (skojfrisk)","adj","","","","praksis-humoer-nuancer-b2","b2","","","audio/da-032481cc885ced.mp3","",""
"opveje","uppväga","verb","","","","praksis-tankeprocesser-b2","b2","","","audio/da-0802cbef2baf4c.mp3","","25044"
"tilskyndelse","sporre (drivkraft)","noun","","","","praksis-vilje-motivation-b2","b2","","","audio/da-1bb9131166088c.mp3","","31126"
"dyd","dygd","noun","","","","praksis-moral-etik-b2","b2","","","audio/da-1672bffc9f85e7.mp3","","11234"
"klammeri","slagsmål, handgemäng","noun","","","","praksis-konflikt-forsoning-b2","b2","","","audio/da-14971835cfa3a7.mp3","","30559"
"troværdig","trovärdig","adj","","","","praksis-tillid-svig-b2","b2","","","audio/da-0de3c14f06dcf4.mp3","","10338"
"frafalde","avstå från","verb","","","","praksis-beslutning-plan-b2","b2","","","audio/da-092a0ec013c1e2.mp3","","27916"
"håndtere","hantera","verb","","","","praksis-problem-loesning-b1","b1","","","audio/da-1f53e8744dca54.mp3","","2292"
"vrøvl","strunt (nonsens)","noun","","","","praksis-kommunikationsstil-b2","b2","","sludder","audio/da-099ed5c535355f.mp3","","2689"
"smiger","smicker","noun","","","","praksis-social-adfaerd-b2","b2","","","audio/da-183b0f5fac859a.mp3","","16078"
"skyldfølelse","skuldkänsla","noun","","","","praksis-foelelser-staerke-b2","b2","","skyld","audio/da-1618a7ecca31bb.mp3","","8470"
"affaldspose","soppåse","noun","","","","praksis-rengoeringsmidler-b2","b2","","skraldepose","audio/da-1208f5c6421e3a.mp3","",""
"rundtang","rundtång","noun","","","","praksis-vaerktoejskasse-b2","b2","","","audio/da-1957188f7d5f57.mp3","",""
"bobleplast","bubbelplast","noun","","","","praksis-emballage-b2","b2","","","audio/da-1c40b268156ce5.mp3","",""
"hak","hack; skåra","noun","","","","praksis-former-moenstre-b2","b2","","","audio/da-093d1e3ad2abff.mp3","","9265"
"silkeblød","silkeslen","adj","","","","praksis-tekstur-overflade-b2","b2","","","audio/da-0bf410532d0170.mp3","",""
"stak","stapel (trave)","noun","Hun lagde en stak bøger på mit skrivebord.","Hon lade en trave böcker på mitt skrivbord.","","praksis-mængder-portioner-b2","b2","","","audio/da-17489417e3407d.mp3","","1274"
"led","vidrig/äcklig","adj","","","","praksis-falske-venner-ekstra-b2","b2","falsk-ven","","audio/da-18c032c23e33e9.mp3","","1542"
"nederen","surt, tråkigt (nedslående)","adj","","","","praksis-slang-talesprog-b2","b2","","","audio/da-12f7fbd8fb530c.mp3","","8912"
"tilfælde","fall (tillfälle)","noun","I mange tilfælde er det bedst at vente.","I många fall är det bäst att vänta.","","praksis-idiomatiske-enkeltord-b2","b2","","","audio/da-1c97ee772e5076.mp3","","1214"
"flytte","flytta","verb","","","","praksis-verber-bevaegelse-b1","b1","","","audio/da-17808d5105f773.mp3","","844"
"nævne","nämna","verb","","","","praksis-verber-kommunikation-b1","b1","","","audio/da-15d174a57bc80e.mp3","","2587"
"mene","mena (tycka)","verb","","","","praksis-verber-taenkning-b1","b1","","","audio/da-1f4939a0a11229.mp3","","2700"
"føle","känna (förnimma)","verb","Jeg føler mig meget bedre i dag.","Jag känner mig mycket bättre idag.","","praksis-verber-foelelser-b1","b1","","mærke|føler","audio/da-1372fbec115633.mp3","","877"
"lytte","lyssna","verb","Hun lytter altid til radio, mens hun laver mad.","Hon lyssnar alltid på radio medan hon lagar mat.","","praksis-verber-sansning-b1","b1","","lytter","audio/da-0c66e8e94fb765.mp3","","1329"
"slippe","släppa","verb","Du må ikke slippe hunden løs i parken.","Du får inte släppa hunden lös i parken.","","praksis-verber-haandtering-b1","b1","","","audio/da-155e157e4bcea3.mp3","","863"
"udvikle","utveckla","verb","","","","praksis-verber-forandring-b1","b1","","","audio/da-18def69390ddb0.mp3","","4592"
"ordne","ordna (fixa)","verb","Jeg skal lige ordne noget, før vi går.","Jag ska bara fixa en grej innan vi går.","","praksis-verber-arbejde-b1","b1","","","audio/da-03ee49812023f3.mp3","","911"
"vaske tøj","tvätta (kläder)","verb","","","","praksis-verber-husarbejde-b1","b1","","vaske","audio/da-00974bbe2a1883.mp3","",""
"dampe","ånga","verb","","","","praksis-verber-madlavning-b2","b2","","","audio/da-17823a78e4b2f0.mp3","","24007"
"sutte","suga (på)","verb","","","","praksis-verber-krop-b1","b1","","","audio/da-0ee07a408b73aa.mp3","","5489"
"drille","reta","verb","","","","praksis-verber-social-b2","b2","","","audio/da-0d0d5f47025482.mp3","","8445"
"klø","smörj, stryk (få klø)","noun","","","","praksis-verber-konflikt-b2","b2","falsk-ven","","audio/da-036f0174777203.mp3","","5565"
"opsætte","skjuta upp, ställa upp","verb","","","","praksis-verber-tid-b2","b2","","","audio/da-1bf1e0287e48e1.mp3","","34925"
"tilbagebetale","återbetala","verb","","","","praksis-verber-penge-b2","b2","","","audio/da-19dd4ee265c1e4.mp3","","33616"
"kunne","kunna","verb","Jeg kunne ikke sove i nat.","Jag kunde inte sova i natt.","","praksis-verber-laering-b1","b1","","","audio/da-1fd387b8048630.mp3","","69"
"parkere","parkera","verb","","","","praksis-verber-rejse-b1","b1","","","audio/da-199412af141b86.mp3","","7116"
"lyne","blixtra","verb","","","","praksis-verber-natur-b2","b2","","","audio/da-0413ea98e2e2d0.mp3","","24878"
"vælge","välja","verb","Det er svært at vælge mellem de to.","Det är svårt att välja mellan de två.","","praksis-verber-frekvente-b1","b1","","","audio/da-0764f73bcc5b34.mp3","","1087"
"medvirke","medverka (bidra)","verb","","","","praksis-verber-abstrakt-b2","b2","","","audio/da-1b448eac37c0b7.mp3","","20999"
"rive ned","riva (rasera)","verb","","","","praksis-verber-byggeri-b1","b1","","","audio/da-0c66148337294b.mp3","",""
"vralte","vagga (gå vaggande)","verb","","","","praksis-verber-bevaegelse2-b2","b2","","","audio/da-0d2d7b900b4a87.mp3","","48779"
"genert","blyg","adj","","","","praksis-adjektiver-personlighed-b1","b1","","","audio/da-040c003e7b3b86.mp3","","4608"
"tynd","smal (tunn)","adj","","","","praksis-adjektiver-udseende-b1","b1","","","audio/da-0a71b3c3454247.mp3","","3817"
"bekymret","bekymrad (orolig)","adj","Jeg er lidt bekymret for min gamle far.","Jag är lite orolig för min gamla pappa.","","praksis-adjektiver-foelelser-b1","b1","","","audio/da-1cde311a19ad4f.mp3","","733"
"omfangsrig","omfångsrik (omfattande)","adj","","","","praksis-adjektiver-stoerrelse-b2","b2","","","audio/da-1966523fc2762c.mp3","",""
"fortrinlig","förträfflig (utmärkt)","adj","","","","praksis-adjektiver-kvalitet-b2","b2","","","audio/da-0c9303a80dbec5.mp3","","44211"
"bidende","bitande (kall)","adj","","","","praksis-adjektiver-temperatur-b2","b2","","","audio/da-04f9590cc86739.mp3","","32228"
"mørkegrøn","mörkgrön","adj","","","","praksis-adjektiver-farver-b2","b2","","","audio/da-06ab4143033dd0.mp3","",""
"snoet","vriden (slingrig)","adj","","","","praksis-adjektiver-form-b2","b2","","","audio/da-19950ab5dcc4b2.mp3","","21494"
"næste","nästa","adj","Jeg tager toget hjem næste weekend.","Jag tar tåget hem nästa helg.","","praksis-adjektiver-tid-b1","b1","","","audio/da-12008304731c4b.mp3","","262"
"krævende","krävande","adj","","","","praksis-adjektiver-svaerhed-b2","b2","","","audio/da-143fc11de6bed9.mp3","","9505"
"træg","trög","adj","","","","praksis-adjektiver-fart-b2","b2","","","audio/da-1d22c9cd1bba51.mp3","","49857"
"fad","fadd (smaklös, urvattnad)","adj","","","","praksis-adjektiver-smag-b2","b2","falsk-ven","","audio/da-0f94295908635a.mp3","","11790"
"slukket","avstängd, släckt","adj","","","","praksis-adjektiver-tilstand-b1","b1","","","audio/da-0a7b783ac91a68.mp3","","3426"
"selvisk","självisk","adj","","","","praksis-adjektiver-social-b2","b2","","","audio/da-0e9ee9266c1401.mp3","","9999"
"voldsom","våldsam (häftig)","adj","","","","praksis-adjektiver-avanceret-b2","b2","","","audio/da-12657802130271.mp3","","6766"
